487968416989874169,05/28,267,VISA,6246450691086824
037957649904479799,05/27,989,VISA,3769575881410223
890409556817169506,05/26,816,MASTERCARD,1279828278509192
490246884274837851,05/26,229,VISA,7548410482324431
011889035612186150,05/28,149,VISA,7348932993926908
493025038316227408,05/27,614,VISA,7348932993926909
298908340416221711,05/28,816,MASTERCARD,7348932993926910
655847337202132706,05/27,128,VISA,7348932993926911
817002440857206386,05/26,985,MASTERCARD,7348932993926912
502393701794376289,05/26,822,MASTERCARD,7348932993926913
974609323167899793,05/28,862,VISA,7348932993926914
447540206876874337,05/27,258,VISA,7348932993926915
959817798601677436,05/28,558,VISA,7348932993926916
506057991457192799,05/27,458,MASTERCARD,7348932993926917
480067188899273716,05/26,147,MASTERCARD,7348932993926918
844314494136848648,05/26,428,VISA,7348932993926919
567570660593256770,05/28,310,MASTERCARD,8352583021903863
538020481118107277,05/27,823,MASTERCARD,2996699009786248
420971985224781831,05/28,445,MASTERCARD,7272326852920114
671638970501785088,05/27,888,VISA,1814212028809113
665615667468192626,05/26,795,VISA,7844605166234821
906970323766166054,05/26,468,VISA,7978523215212949
377784775680271779,05/28,437,MASTERCARD,8973379030304268
270026385057263392,05/27,538,VISA,6362381415054506
925647654869183467,05/28,851,MASTERCARD,1151198863159619
765025872275072516,05/27,884,MASTERCARD,1151198863159620
019988434544083370,05/26,835,MASTERCARD,1151198863159621
320893942613931726,05/26,612,VISA,1151198863159622
115402206699008001,05/28,140,VISA,1151198863159623
755833142896051717,05/27,191,VISA,1151198863159624
745466929896480551,05/28,938,MASTERCARD,1151198863159625
465258312453455088,05/27,200,MASTERCARD,1151198863159626
043261845809584977,05/26,686,VISA,1151198863159627
950322080738863136,05/26,149,MASTERCARD,1151198863159628
402208568928372744,05/28,655,MASTERCARD,1151198863159629
465511525116008659,05/27,787,MASTERCARD,1151198863159630
653680674462501137,05/28,763,VISA,1151198863159631
702340889170573963,05/27,598,VISA,1151198863159632
082897105224866721,05/26,185,VISA,1151198863159633
141359728804312379,05/26,340,VISA,4972295602688494
210807587343570327,05/28,863,MASTERCARD,9497278413315832
164351015707148550,05/27,350,VISA,1049776374605558
169191295213228166,05/28,488,VISA,1049776374605559
028349924346036759,05/27,493,VISA,1049776374605560
511226151970892831,05/26,367,MASTERCARD,1049776374605561
778927941256300148,05/26,154,VISA,1049776374605562
401350859937510155,05/28,523,MASTERCARD,1049776374605563
966607109204151481,05/27,567,MASTERCARD,1049776374605564
438794546221551980,05/28,842,VISA,1049776374605565
283584764916322798,05/27,835,VISA,1049776374605566
257671316660080767,05/26,162,VISA,1049776374605567
785656370733631317,05/26,613,MASTERCARD,1049776374605568
966616707239827786,05/28,238,MASTERCARD,1049776374605569
289649857429750258,05/27,149,VISA,1049776374605570
587620300776078979,05/28,258,VISA,1049776374605571
365026486643414516,05/27,180,MASTERCARD,1049776374605572
936474267086651747,05/26,550,VISA,1049776374605573
662550376278210059,05/26,243,VISA,1049776374605574
915782787780275744,05/28,308,VISA,1049776374605575
951482646917166499,05/27,403,MASTERCARD,1049776374605576
954169816963987024,05/28,406,VISA,1049776374605577
465348641376571950,05/27,116,MASTERCARD,6676889147219115
850993406918860884,05/26,290,MASTERCARD,2615236519348261
552620073111698003,05/26,820,VISA,4161848962607744
481340019957321196,05/28,147,VISA,2339510546132632
609072245810774941,05/27,210,VISA,7439330227551372
031812149639422062,05/28,580,MASTERCARD,6029761083050641
245693045639914160,05/27,264,MASTERCARD,5260648523144849
049595914084730383,05/26,438,VISA,9861021918949096
709768937768667520,05/26,496,MASTERCARD,6867219717541744
712869088903416553,05/28,224,MASTERCARD,4107591282087777
407844548071421592,05/27,718,MASTERCARD,4317095496079542
756251097490209233,05/28,652,VISA,4706267329956896
759418729957322257,05/27,818,VISA,4632280631308880
532603957446561321,05/26,301,VISA,4632280631308881
220667758118269961,05/26,638,MASTERCARD,4632280631308882
905391391578789158,05/28,748,VISA,4632280631308883
066746724862522237,05/27,852,MASTERCARD,4632280631308884
897337649564126347,05/28,933,MASTERCARD,4632280631308885
397324718601873060,05/27,925,MASTERCARD,4632280631308886
758631439973897997,05/26,435,VISA,4632280631308887
111952463825838848,05/26,703,VISA,4632280631308888
185490325146643899,05/28,310,VISA,4632280631308889
013634117447497768,05/27,248,MASTERCARD,4632280631308890
221024306254368227,05/28,255,MASTERCARD,4632280631308891
552928329394789918,05/27,134,VISA,4632280631308892
203784726253123240,05/26,933,MASTERCARD,4632280631308893
871415571667961880,05/26,699,MASTERCARD,4632280631308894
042432487680733795,05/28,780,MASTERCARD,4632280631308895
340251878564287568,05/27,852,VISA,4632280631308896
370037435896973398,05/28,759,VISA,5787756661628438
831020194792543667,05/27,402,VISA,1434454439364011
561725262947048031,05/26,151,VISA,7695241336808514
569657209513148133,05/26,708,MASTERCARD,8009420528847467
258156405681508214,05/28,542,VISA,5311161771979366
748266270245921870,05/27,174,VISA,4564158929399443
314114247082277373,05/28,532,VISA,4564158929399444
141089847959360553,05/27,320,MASTERCARD,4564158929399445
654159595707946484,05/26,876,VISA,4564158929399446
413074500520442785,05/26,887,MASTERCARD,4564158929399447
620173512331630303,05/28,713,MASTERCARD,4564158929399448
750856796324715108,05/27,103,VISA,4564158929399449
582257976406242116,05/28,820,VISA,4564158929399450
626550605638482004,05/27,432,VISA,4564158929399451
707528845910299299,05/26,521,MASTERCARD,4564158929399452
467721004610190846,05/26,788,MASTERCARD,4564158929399453
030536191343153747,05/28,813,VISA,4564158929399454
426337135825973927,05/27,288,VISA,4564158929399455
344052939381768454,05/28,313,MASTERCARD,4564158929399456
762314064946764283,05/27,722,VISA,4564158929399457
333399648346097092,05/26,970,VISA,4564158929399458
543511221664152838,05/26,412,VISA,7105739572363099
352129014109576691,05/28,235,MASTERCARD,7721883442235283
582760546717949093,05/27,549,VISA,7863174005832782
024992286776017707,05/28,589,MASTERCARD,8978085468559274
822892505332841096,05/27,852,MASTERCARD,1560899451016031
211782834444592991,05/26,965,VISA,3917977056900164
401850783009115230,05/26,202,VISA,6517107338140982
838946032529241550,05/28,802,VISA,4776081059469614
580443325980039895,05/27,469,MASTERCARD,1313808000358837
112529245300864706,05/28,314,MASTERCARD,1313808000358838
332524646781831895,05/27,225,VISA,1313808000358839
015406625364523382,05/26,509,MASTERCARD,1313808000358840
403501105980187101,05/26,566,MASTERCARD,1313808000358841
440386694481542474,05/28,587,MASTERCARD,1313808000358842
434950717578373030,05/27,986,VISA,1313808000358843
566918631185177317,05/28,619,VISA,1313808000358844
396757085050824298,05/27,681,VISA,1313808000358845
706830687401615540,05/26,251,MASTERCARD,1313808000358846
918549779525623140,05/26,817,VISA,1313808000358847
131234594785924506,05/28,342,MASTERCARD,1313808000358848
630791718321569930,05/27,504,MASTERCARD,1313808000358849
295760776182115939,05/28,893,MASTERCARD,8532896840408258
356448434393762048,05/27,556,VISA,8932251479166482
490339697037293387,05/26,984,VISA,8667760654335408
941227429689944947,05/26,277,VISA,6040336656009347
178106415493365382,05/28,552,MASTERCARD,3551136012681107
308773451461860818,05/27,193,MASTERCARD,4987955262731754
695711438248138248,05/28,683,VISA,2332436798553228
662074947647027216,05/27,485,MASTERCARD,2890537192953094
933717407029296797,05/26,746,MASTERCARD,2910112780587354
229258963514583863,05/26,467,MASTERCARD,1597835499392763
144971407909130272,05/28,509,VISA,2710882525860236
958277642783645906,05/27,811,VISA,2355373889373664
486624914242480548,05/28,271,VISA,9426681014851904
741703260379667313,05/27,888,VISA,1445672386380759
392941588912018422,05/26,215,MASTERCARD,2441093822445349
941504994779533066,05/26,708,VISA,2658591199394304
514616146206910921,05/28,922,VISA,6644033656537932
779896093799910521,05/27,498,VISA,6644033656537933
144743482932096884,05/28,788,MASTERCARD,8167279656432021
187228647393768226,05/27,591,VISA,2807132187134612
811841384902830488,05/26,875,MASTERCARD,7113119483098605
624415957483812825,05/26,162,MASTERCARD,8534311480404104
909443910282433580,05/28,244,VISA,5497521656690469
416353194155593745,05/27,673,VISA,2732853576626968
992383533518788791,05/28,195,VISA,9323385561633376
479886291094493109,05/27,563,MASTERCARD,5287234995641966
346963826670932782,05/26,490,MASTERCARD,7876656418650734
189622238552404114,05/26,120,VISA,6088147512137491
210611301340924217,05/28,745,VISA,6088147512137492
274834911876272000,05/27,552,MASTERCARD,6088147512137493
